epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1076.04,0.83954,2.2046,1.23705,0.45282,0.59709,0.46401,0.35786,0.82906,1.61037,1.19601,0.0700207,0.00333103,0.00333103
2,2157.41,0.83166,1.20142,1.20466,0.5121,0.60484,0.50135,0.37796,0.88429,1.58237,1.23375,0.0396908,0.00633448,0.00633448
3,3234.87,0.91666,1.30919,1.26579,0.49209,0.61841,0.47909,0.35488,0.90509,1.55371,1.26554,0.00903096,0.00900792,0.00900792
4,4311.11,0.94721,1.33711,1.28554,0.52917,0.70223,0.54639,0.41715,0.83078,1.29801,1.1813,0.008515,0.008515,0.008515
5,5384.28,0.89441,1.18365,1.23551,0.53283,0.79489,0.57568,0.45575,0.76765,1.18954,1.11201,0.00802,0.00802,0.00802
6,6458.59,0.85869,1.0829,1.20721,0.55886,0.80185,0.59317,0.47293,0.72788,1.1393,1.08724,0.007525,0.007525,0.007525
7,7532.59,0.81902,1.00205,1.18026,0.57496,0.84416,0.61234,0.49403,0.6998,1.05246,1.0645,0.00703,0.00703,0.00703
8,8611.34,0.79089,0.94224,1.15963,0.58329,0.86522,0.6144,0.50216,0.67865,1.0016,1.04608,0.006535,0.006535,0.006535
9,9690.15,0.77068,0.89146,1.1432,0.59246,0.88959,0.61887,0.51087,0.65682,0.96731,1.03272,0.00604,0.00604,0.00604
10,10770.8,0.75359,0.84437,1.13099,0.60016,0.88682,0.63502,0.52651,0.63826,0.93927,1.01085,0.005545,0.005545,0.005545
11,11845.5,0.6983,0.73042,1.10742,0.5929,0.89582,0.62973,0.52645,0.62949,0.93276,0.99911,0.00505,0.00505,0.00505
12,12916.1,0.68096,0.69082,1.09276,0.60652,0.888,0.6393,0.53901,0.61601,0.90757,0.9925,0.004555,0.004555,0.004555
13,13985.2,0.6602,0.65795,1.07449,0.60518,0.91471,0.63948,0.53876,0.61196,0.88137,0.98741,0.00406,0.00406,0.00406
14,15054.7,0.64136,0.62471,1.0602,0.60138,0.92384,0.639,0.54287,0.59389,0.87691,0.97366,0.003565,0.003565,0.003565
15,16129.3,0.62399,0.59714,1.0489,0.61016,0.93456,0.6498,0.55485,0.58074,0.86942,0.96505,0.00307,0.00307,0.00307
16,17205.5,0.60049,0.56271,1.02894,0.6137,0.93787,0.64769,0.55543,0.57032,0.85152,0.95881,0.002575,0.002575,0.002575
17,18279.7,0.58477,0.53635,1.01727,0.61322,0.94336,0.64313,0.55438,0.56082,0.85402,0.94722,0.00208,0.00208,0.00208
18,19350.7,0.5655,0.50685,1.00336,0.61388,0.94269,0.64148,0.55359,0.55821,0.85108,0.94349,0.001585,0.001585,0.001585
19,20422.4,0.55246,0.48265,0.99585,0.61183,0.94422,0.64098,0.5545,0.55132,0.8529,0.9397,0.00109,0.00109,0.00109
20,21497.8,0.53495,0.46328,0.98308,0.6136,0.94888,0.64028,0.55705,0.54388,0.85561,0.9348,0.000595,0.000595,0.000595
